x	V(out)
4.440000000000000e+02	9.726228e-01
4.450000000000000e+02	9.948952e-01
4.460000000000000e+02	1.001011e+00
4.470000000000000e+02	9.730632e-01
4.480000000000000e+02	1.021188e+00
4.490000000000000e+02	1.048445e+00
4.500000000000000e+02	1.015521e+00
4.510000000000000e+02	9.772667e-01
4.520000000000000e+02	9.969016e-01
4.530000000000000e+02	9.503001e-01
4.540000000000000e+02	9.946424e-01
4.550000000000000e+02	1.047094e+00
4.560000000000000e+02	9.804664e-01
4.570000000000000e+02	9.715109e-01
4.580000000000000e+02	9.747585e-01
4.590000000000000e+02	1.030645e+00
4.600000000000000e+02	9.986371e-01
4.610000000000000e+02	9.907502e-01
4.620000000000000e+02	9.715629e-01
4.630000000000000e+02	1.004025e+00
4.640000000000000e+02	1.022302e+00
4.650000000000000e+02	9.783694e-01
4.660000000000000e+02	1.004286e+00
4.670000000000000e+02	1.025592e+00
4.680000000000000e+02	9.831977e-01
4.690000000000000e+02	1.030176e+00
4.700000000000000e+02	1.035707e+00
4.710000000000000e+02	9.514892e-01
4.720000000000000e+02	1.038494e+00
4.730000000000000e+02	1.009309e+00
4.740000000000000e+02	9.586217e-01
4.750000000000000e+02	1.042488e+00
4.760000000000000e+02	1.041372e+00
4.770000000000000e+02	1.048076e+00
4.780000000000000e+02	1.040002e+00
4.790000000000000e+02	1.044971e+00
4.800000000000000e+02	1.043452e+00
4.810000000000000e+02	9.508324e-01
4.820000000000000e+02	1.027779e+00
4.830000000000000e+02	9.525959e-01
4.840000000000000e+02	1.008788e+00
4.850000000000000e+02	1.014978e+00
4.860000000000000e+02	9.828237e-01
4.870000000000000e+02	9.611079e-01
4.880000000000000e+02	9.624273e-01
4.890000000000000e+02	1.047392e+00
4.900000000000000e+02	1.003323e+00
4.910000000000000e+02	1.016230e+00
4.920000000000000e+02	1.020826e+00
4.930000000000000e+02	9.568738e-01
4.940000000000000e+02	9.705955e-01
4.950000000000000e+02	9.933430e-01
4.960000000000000e+02	9.511192e-01
4.970000000000000e+02	9.569262e-01
4.980000000000000e+02	9.843062e-01
4.990000000000000e+02	9.812230e-01
5.000000000000000e+02	1.049274e+00
5.010000000000000e+02	9.769064e-01
5.020000000000000e+02	1.035707e+00
5.030000000000000e+02	9.855611e-01
5.040000000000000e+02	1.024677e+00
5.050000000000000e+02	1.034486e+00
5.060000000000000e+02	9.717138e-01
5.070000000000000e+02	1.046495e+00
5.080000000000000e+02	1.021219e+00
5.090000000000000e+02	1.048267e+00
5.100000000000000e+02	1.025990e+00
5.110000000000000e+02	9.693260e-01
5.120000000000000e+02	9.852589e-01
5.130000000000000e+02	9.696301e-01
5.140000000000000e+02	1.033207e+00
5.150000000000000e+02	1.045259e+00
5.160000000000000e+02	1.026737e+00
5.170000000000000e+02	1.036197e+00
5.180000000000000e+02	9.955664e-01
5.190000000000000e+02	9.832684e-01
5.200000000000000e+02	1.033826e+00
5.210000000000000e+02	1.005431e+00
5.220000000000000e+02	9.620866e-01
5.230000000000000e+02	9.712183e-01
5.240000000000000e+02	9.991239e-01
5.250000000000000e+02	9.909655e-01
5.260000000000000e+02	1.025951e+00
5.270000000000000e+02	9.857064e-01
5.280000000000000e+02	1.027179e+00
5.290000000000000e+02	1.048154e+00
5.300000000000000e+02	1.034616e+00
5.310000000000000e+02	1.033462e+00
5.320000000000000e+02	9.867194e-01
5.330000000000000e+02	9.550626e-01
5.340000000000000e+02	1.047556e+00
5.350000000000000e+02	1.034259e+00
5.360000000000000e+02	1.036946e+00
5.370000000000000e+02	9.575499e-01
5.380000000000000e+02	9.532376e-01
5.390000000000000e+02	1.011393e+00
5.400000000000000e+02	1.023568e+00
5.410000000000000e+02	1.011553e+00
5.420000000000000e+02	1.016263e+00
5.430000000000000e+02	1.045126e+00
5.440000000000000e+02	9.765887e-01
5.450000000000000e+02	1.041939e+00
5.460000000000000e+02	9.618397e-01
5.470000000000000e+02	9.813066e-01
5.480000000000000e+02	1.037212e+00
5.490000000000000e+02	9.733644e-01
5.500000000000000e+02	1.030806e+00
5.510000000000000e+02	1.005653e+00
5.520000000000000e+02	1.044359e+00
5.530000000000000e+02	1.000370e+00
5.540000000000000e+02	1.016642e+00
5.550000000000000e+02	9.652966e-01
5.560000000000000e+02	1.047323e+00
5.570000000000000e+02	1.013377e+00
5.580000000000000e+02	9.678650e-01
5.590000000000000e+02	9.574143e-01
5.600000000000000e+02	9.994975e-01
5.610000000000000e+02	1.028598e+00
5.620000000000000e+02	9.964679e-01
5.630000000000000e+02	1.038303e+00
5.640000000000000e+02	1.014737e+00
5.650000000000000e+02	1.040324e+00
5.660000000000000e+02	9.505973e-01
5.670000000000000e+02	1.019356e+00
5.680000000000000e+02	1.008509e+00
5.690000000000000e+02	9.605361e-01
5.700000000000000e+02	1.049032e+00
5.710000000000000e+02	9.729992e-01
5.720000000000000e+02	9.832908e-01
5.730000000000000e+02	1.018938e+00
5.740000000000000e+02	1.046142e+00
5.750000000000000e+02	9.726599e-01
5.760000000000000e+02	1.042424e+00
5.770000000000000e+02	1.037625e+00
5.780000000000000e+02	9.931744e-01
5.790000000000000e+02	9.970887e-01
5.800000000000000e+02	1.006210e+00
5.810000000000000e+02	1.033762e+00
5.820000000000000e+02	9.648309e-01
5.830000000000000e+02	1.013928e+00
5.840000000000000e+02	1.049559e+00
5.850000000000000e+02	1.013939e+00
5.860000000000000e+02	9.939519e-01
5.870000000000000e+02	9.528388e-01
5.880000000000000e+02	9.583151e-01
5.890000000000000e+02	1.003037e+00
